start	type	end
729948	1	729948
729948	1	730314
729948	1	8697
729948	1	8881
729948	1	996
729948	1	51343
730314	1	100131844
730314	1	10393
730314	1	246184
730314	1	29882
730314	1	29945
730314	1	51433
730314	1	51434
730314	1	51529
730314	1	64682
730314	1	650621
730314	1	729948
730314	1	730314
730314	1	8697
730314	1	8881
730314	1	996
730314	1	51343
8697	1	100131844
8697	1	10393
8697	1	246184
8697	1	29882
8697	1	29945
8697	1	51433
8697	1	51434
8697	1	51529
8697	1	64682
8697	1	650621
8697	1	729948
8697	1	730314
8697	1	8697
8697	1	8881
8697	1	996
8697	1	51343
8881	1	100131844
8881	1	10393
8881	1	246184
8881	1	29882
8881	1	29945
8881	1	51433
8881	1	51434
8881	1	51529
8881	1	64682
8881	1	650621
8881	1	729948
8881	1	730314
8881	1	8697
8881	1	8881
8881	1	996
8881	1	51343
996	1	100131844
996	1	10393
996	1	246184
996	1	29882
996	1	29945
996	1	51433
996	1	51434
996	1	51529
996	1	64682
996	1	650621
996	1	729948
996	1	730314
996	1	8697
996	1	8881
996	1	996
996	1	51343
991	1	100131844
991	1	10393
991	1	246184
991	1	29882
991	1	29945
991	1	51433
991	1	51434
991	1	51529
991	1	64682
991	1	650621
991	1	729948
991	1	730314
991	1	8697
991	1	8881
991	1	996
991	1	51343
4194	1	4193
7157	1	4193
54205	1	842
317	1	842
842	1	836
841	1	836
6843	1	6616
6843	1	8773
6843	1	112755
6843	1	2054
6843	1	6804
6843	1	6809
6843	1	6810
6844	1	6616
6844	1	8773
6844	1	112755
6844	1	2054
6844	1	6804
6844	1	6809
6844	1	6810
9341	1	6616
9341	1	8773
9341	1	112755
9341	1	2054
9341	1	6804
9341	1	6809
9341	1	6810
8674	1	6616
8674	1	8773
8674	1	112755
8674	1	2054
8674	1	6804
8674	1	6809
8674	1	6810
8674	1	10490
8674	1	143187
8674	1	10228
8674	1	8677
8674	1	8675
10652	1	10490
10652	1	143187
10652	1	9482
10652	1	203062
10652	1	23673
10652	1	8417
10282	1	9554
10282	1	9570
10282	1	6811
51272	1	9554
51272	1	9570
51272	1	6811
9554	1	662
9554	1	55850
9554	1	53407
9140	1	10533
11337	1	10533
11345	1	10533
23710	1	10533
10533	1	10533
10533	1	64422
6009	1	2475
355	1	8772
8793	1	8772
8794	1	8772
8795	1	8772
8797	1	8772
7132	1	8772
7132	1	8717
7132	1	8737
3554	1	8772
3554	1	8717
3556	1	8772
3556	1	8717
3554	1	11213
3554	1	3654
3554	1	3656
3554	1	51135
3554	1	4615
3556	1	11213
3556	1	3654
3556	1	3656
3556	1	51135
3556	1	4615
8772	1	843
8772	1	841
843	1	836
841	1	840
8737	1	9020
7186	1	9020
842	1	840
836	1	839
836	1	1676
840	1	1676
841	1	637
64840	1	51384
64840	1	54361
64840	1	7471
64840	1	7472
64840	1	7473
64840	1	7474
64840	1	7475
64840	1	7476
64840	1	7477
64840	1	7478
64840	1	7479
64840	1	7480
64840	1	7481
64840	1	7482
64840	1	7483
64840	1	7484
64840	1	80326
64840	1	81029
64840	1	89780
51384	1	11211
51384	1	2535
51384	1	7855
51384	1	7976
51384	1	8321
51384	1	8322
51384	1	8323
51384	1	8324
51384	1	8325
51384	1	8326
54361	1	11211
54361	1	2535
54361	1	7855
54361	1	7976
54361	1	8321
54361	1	8322
54361	1	8323
54361	1	8324
54361	1	8325
54361	1	8326
7471	1	11211
7471	1	2535
7471	1	7855
7471	1	7976
7471	1	8321
7471	1	8322
7471	1	8323
7471	1	8324
7471	1	8325
7471	1	8326
7472	1	11211
7472	1	2535
7472	1	7855
